id_l,id_r
143,2917
1530,2922
310,2908
2090,2905
1744,2924
2316,2881
2136,2977
1694,2929
54,2972
1958,2899
812,2934
943,2974
1208,2891
1699,2873
1920,2907
2464,2885
308,2913
1044,2874
290,3086
1908,2882
205,2892
1462,2906
655,2935
2212,2893
949,2890
2513,2894
1040,2969
581,2883
870,2932
2284,2900
2048,2930
2272,2984
56,2879
125,2888
89,2926
2364,2923
48,2976
462,2933
1897,2983
1586,2921
423,2973
549,2911
390,2880
16,2968
354,2916
1008,2898
428,2901
1342,2978
1337,2928
1855,2912
1892,2920
1242,2895
1453,2915
1064,2931
2253,2914
2082,2889
1088,2896
97,2925
690,2878
2050,2886
343,2909
2098,2884
1869,2918
1281,2980
1879,2919
767,2887
1974,3084
326,2910
583,2904
73,2927
731,2875
1668,2876
2487,3085
2527,2902
1468,2872
1199,2975
1333,2970
747,2903
1479,2982
277,2979
1000,2877
381,2897
1175,2971
820,2680
1109,2681
2259,2683
794,2684
1284,2686
557,2694
1154,3046
2589,3047
1707,3040
1443,3042
695,3036
604,3038
442,3039
595,3061
1317,3060
582,3062
2268,3057
1409,3059
1567,3058
1588,3053
601,3054
589,3048
152,3014
1841,3013
1290,3001
45,3029
1387,3026
2394,3025
1948,3021
509,3019
921,3016
1131,2708
1569,2711
710,2710
1741,2682
1602,2685
792,2687
1660,2688
1938,2689
1649,2690
1460,2691
1013,2692
1777,2695
1251,2693
609,3044
1161,3045
2024,3041
1837,3043
2447,3037
2539,3032
2389,3033
526,3034
2273,3035
2235,3063
2587,3056
2429,3052
846,3051
2599,3050
1919,3015
584,3012
1383,3010
1222,3008
2113,3007
1988,3005
2482,3003
267,3000
1912,3031
648,3030
936,3028
750,3027
1776,3024
179,3023
44,3022
2560,3020
1871,3018
493,3017
1624,3104
1598,2837
1702,2824
2245,2826
2381,2828
232,2829
632,2816
335,2818
543,2820
1502,2822
101,2813
1077,2671
1891,2670
799,2669
1743,2666
5,2665
2344,2679
1791,2676
2303,2675
1180,2672
65,2655
1046,2653
1824,2648
1713,2662
728,2660
1059,2661
1237,2638
1225,2633
1667,2632
2017,2635
30,2634
1124,2645
2448,2644
1470,2617
269,2835
2369,2836
1896,2838
484,2839
166,2825
1248,2827
379,2830
1215,2831
1874,2817
2223,2819
1670,2821
385,2823
491,2809
230,2808
895,2811
1818,2810
817,2812
1126,2815
2450,2814
862,2668
527,2667
2488,2664
932,2678
2065,2677
754,2673
931,2654
590,2652
127,2650
617,2651
580,2649
918,2663
1277,2658
1058,2659
1695,2637
614,2636
473,2639
1916,2647
2512,2646
1184,2641
323,2640
1028,2643
2022,2642
973,2620
1146,2621
1698,2622
1671,2623
2123,2616
440,2618
463,2619
2051,4406
2278,4402
743,4401
2443,4400
1765,4399
432,4398
1581,4396
215,4393
2324,4419
1030,4416
656,4415
745,4412
1053,4413
1379,4408
1412,4409
2357,2804
142,2805
1348,2802
437,2801
520,2796
789,2794
496,2793
362,2790
2486,2787
1740,2785
278,2780
1023,2779
348,2778
1678,2777
741,2773
24,2775
554,2769
619,2770
109,2766
587,2760
912,2761
758,2753
908,2752
1679,2767
905,4407
2503,4405
505,4404
2232,4403
1943,4397
1947,4395
243,4394
1371,4392
249,4422
2219,4423
959,4420
2367,4421
1071,4418
1220,4417
1363,4414
2220,4410
2294,4411
2115,2806
2387,2807
534,2803
1835,2800
2465,2798
191,2799
1132,2797
978,2795
133,2792
1158,2791
827,2789
650,2788
81,2786
204,2783
1087,2782
499,2781
1749,2776
979,2772
1762,2774
742,2768
1149,2771
1407,2764
1141,2765
1286,2762
58,2763
1445,2757
384,2756
457,2759
1615,2758
368,4537
2195,4548
824,4546
2292,4434
1856,4436
17,4424
1525,4426
424,4429
1367,4431
899,4430
1819,4450
2213,4451
661,4452
2422,4441
613,4442
2249,4444
2337,4446
2480,4465
444,4470
1880,4468
1901,4483
114,4536
1931,4551
2107,4550
1458,4549
261,4547
1318,4545
489,4544
2177,4433
2345,4435
168,4437
157,4438
989,4425
780,4427
146,4428
1239,4448
1041,4449
1514,4453
2365,4454
1142,4455
1406,4440
2209,4443
1496,4445
137,4447
1490,4467
970,4466
2578,4464
687,4471
1386,4469
1292,4459
1374,4458
1332,4457
2425,4456
2573,4463
2546,4462
1712,4461
2579,4460
688,4482
2147,4480
1877,4481
2036,4486
711,4487
1359,4484
512,4485
1632,4474
955,4573
2588,4572
1730,4575
268,4580
1189,4585
500,4590
2164,4589
1629,4594
1081,4596
1324,4600
1168,4606
194,4611
1382,4610
443,4609
561,4608
953,4614
1866,2865
1541,2871
1049,2858
1283,2856
1315,2860
562,2851
1043,4567
2229,4569
1863,4568
2021,4571
2037,4570
438,4574
144,4577
151,4576
2298,4579
2095,4578
2221,4581
1503,4583
1959,4586
111,4587
301,4584
271,4591
237,4588
1808,4595
1799,4592
1017,4593
1985,4599
2351,4597
169,4603
1886,4602
1680,4601
1488,4607
1784,4605
668,4604
880,4615
357,2867
221,2864
185,2870
150,2868
2350,2869
746,2859
1393,2857
206,2862
1608,2863
377,2861
2374,2850
2174,4209
610,4211
837,4200
917,4202
1166,4207
818,4135
841,4133
1910,4132
288,4131
2388,4130
972,4129
2466,4126
2261,4121
2238,4118
2576,4116
1031,4117
189,4110
1384,4111
494,4108
1990,4105
2386,4164
1884,4160
2463,4162
2500,4157
2057,4149
2014,4142
2349,4210
1692,4212
1463,4213
2172,4214
1722,4215
2167,4201
1568,4203
627,4204
1535,4205
697,4206
2158,4134
2318,4128
2452,4127
1726,4125
2414,4124
919,4123
1634,4122
1860,4120
1898,4119
1001,4114
1763,4115
1814,4112
246,4113
197,4109
838,4106
2044,2745
1591,2744
139,4107
1617,4104
876,4165
2449,4167
937,4166
1145,4161
1140,4163
1424,4156
