id_l,id_r
572,38983
279,38661
279,25683
279,34721
293,62162
293,45122
1555,34084
1555,37763
1555,18987
1006,26171
1006,21660
1539,9475
1539,3222
1539,16108
1539,61986
1539,58228
1539,54033
1539,38080
1539,13241
1539,5311
1539,46591
1238,21139
1238,12404
1238,21549
1238,7315
1238,16441
1238,5216
1238,18949
779,48388
779,65230
779,4930
1047,26274
1047,19361
1047,19910
1047,61388
1047,55562
996,31292
996,34220
996,50078
996,40090
996,5575
996,35915
996,44369
1022,25331
1022,66610
1022,16296
1022,2791
1022,19243
1422,15915
1089,14192
1089,24249
1089,10417
1421,10203
1421,56419
1421,17040
1421,65698
1421,35039
1421,62572
1421,4173
1421,13199
1421,58897
958,25660
958,15022
958,2911
958,12126
1099,49263
1176,52993
1176,20519
1176,50754
1176,53844
1176,35406
1176,24329
1037,55793
1547,42702
1308,12741
1308,21456
744,28612
744,16057
1477,64174
1477,17692
1477,59925
1477,9246
643,34008
643,36951
1467,37352
1467,37661
1467,10501
489,52509
339,17864
903,22315
903,28039
940,48899
940,52961
753,41704
753,26899
753,40198
709,66013
709,58036
439,21705
672,40963
672,10673
1341,20373
1341,33753
1341,60070
1341,34556
1341,4438
468,40999
1851,31651
716,25809
269,20995
269,19556
1129,48746
1129,39605
1129,51976
1129,51409
1129,14715
1129,33291
1129,42891
1129,23149
1129,24502
1129,24215
1129,6574
276,34647
883,32576
795,45816
1758,55849
262,41169
975,34360
975,49853
975,47107
975,58766
975,46273
474,56695
474,65557
1187,11426
1187,7150
1187,2733
746,33522
746,14103
746,36887
746,38078
433,19917
433,11939
433,17571
1273,44352
1262,42652
1262,52752
1262,48229
1019,39613
1019,40427
1019,44458
1019,61951
1019,47454
1019,31848
890,28271
560,40505
434,31483
434,30715
434,24039
211,65816
211,45527
211,2818
1594,41285
1594,50508
1290,22014
1290,7733
1290,18095
1290,11878
1675,7277
1675,3982
1675,53344
1675,28613
1675,40611
1646,31746
1385,59955
1385,64007
1385,39481
1118,43307
1184,39128
219,3737
219,26882
219,8157
219,41021
295,59491
195,49358
681,27076
681,22112
736,58864
1754,53429
1640,22379
1752,8479
1752,60921
1752,24877
1752,56902
1752,56762
1752,6953
1752,4301
1752,44423
1752,63399
1752,20732
571,27288
571,30257
845,28523
845,33052
845,12750
845,38335
845,19931
845,16365
1039,47894
1039,51908
1570,64047
1570,31961
1123,5830
1123,10589
1123,15455
1123,26998
1123,17810
1123,19616
1123,21432
981,55978
1221,23130
1131,62924
1131,12547
1131,25858
1131,54975
1131,47139
1131,52345
221,29973
1247,25970
1205,56085
1205,38163
1205,28133
1205,25778
1205,41736
1205,52604
1205,63073
1205,16891
1368,3722
1368,59750
1108,38385
1108,43029
1108,46970
1108,58840
1108,41452
915,66394
915,50822
915,16039
915,64575
1479,19828
1479,42422
1479,28480
1479,47873
1479,36676
1479,50323
1479,59575
1479,41269
1479,60877
1030,27005
1030,26987
1498,20540
1557,4526
1557,45094
1557,40962
1757,31825
1757,12745
1757,8008
1757,26491
678,40664
1600,29412
1600,66605
936,17097
1611,62307
495,44718
495,42409
495,38255
304,29808
1706,44328
1706,48512
1433,57879
1730,59321
1827,14435
1352,32973
1352,51898
1352,35883
1352,34241
872,5441
872,48733
1255,38482
950,31983
1523,13278
1523,19443
1523,8496
1523,51946
1523,57950
416,26811
705,16312
1055,6141
1492,16719
601,63182
1281,57731
1281,61254
1281,46406
1281,32304
1363,29446
1363,35155
461,8643
629,25913
629,24224
629,29338
298,58921
298,54890
1124,41719
1124,56494
1124,46524
1339,29492
1339,25795
1339,29666
876,61885
876,17708
876,13200
876,52655
970,19313
970,14481
970,19678
1015,38595
1390,11716
1390,4462
1390,15221
1390,7471
897,51794
592,37557
592,26918
592,33942
853,28689
853,13170
853,9861
853,16155
1195,23098
1553,26936
1553,30901
1553,19184
1770,25513
1770,38067
1770,58501
1770,8303
1770,4400
1729,38228
1329,50866
1329,12507
1329,18904
1329,39999
1329,8857
1329,14644
1329,29314
1329,55972
1329,22943
1235,39728
1235,39364
1235,62727
1235,34806
1235,4670
1235,14549
1235,57794
1235,26300
1235,48732
1235,65527
1235,55301
1235,19749
1235,43927
1578,51558
1578,49243
1048,9159
1048,55992
1048,14022
1080,60203
1456,56770
504,46493
504,32247
695,53587
695,63035
695,58076
538,13825
538,13174
538,9111
1803,24647
1673,30381
1673,6270
1673,36277
1673,30655
482,63418
1453,6330
1453,6486
1453,38384
1453,10502
1453,12965
1453,21778
1453,19604
1453,25681
1453,53855
404,41493
1624,49227
661,26139
585,55767
640,45183
935,29507
935,61118
935,58095
618,21308
618,65971
618,13401
879,30585
879,26499
879,65452
1814,6751
1082,10198
1777,34462
1777,23574
1777,62096
1777,10823
1777,3031
1777,15163
1777,6879
1777,40181
1311,27695
1311,23048
1311,24032
1311,26089
1311,22064
1712,58622
1712,47886
1712,15222
1712,45846
1712,8377
1284,38634
1284,44189
1284,8003
1284,33472
1284,15349
1380,15633
1380,31146
1380,12400
1380,20311
710,18752
710,25440
738,65348
738,61720
761,25512
1849,22055
1849,16918
1849,25064
1816,9986
1816,52913
1245,44114
1078,58366
1147,53193
1147,60073
900,55876
1349,59556
1349,55331
1349,51501
406,39239
406,19723
1276,53536
431,58477
431,66045
431,3351
887,61963
887,56947
763,28259
763,40449
1056,33660
1056,37842
1056,26864
1056,23650
543,32611
543,38007
1093,53063
1093,56990
1093,47077
1093,63778
944,48571
944,44383
1377,46519
1377,53588
1382,66461
1382,63010
1382,17787
1382,60612
1382,56389
596,28425
596,55187
1616,24403
1616,16474
1428,56649
355,39723
355,44908
493,26255
493,33196
212,13686
340,40398
1171,33763
1171,16292
1171,39406
1171,51244
1171,39751
1171,42280
1171,35830
1171,32397
998,8583
998,12494
998,14666
1095,48089
1095,43193
1095,65439
1095,27923
1095,38476
