id,title,authors,venue,year
0,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"M Rusinkiewicz, W Klas, T Tesch, J Wäsch, P Muth",VLDB,1995
1,SQL/XML is Making Good Progress,"A Eisenberg, J Melton",SIGMOD Record,2002
2,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"P Ammann, S Jajodia, I Ray",VLDB,1995
3,Editor's Notes,L Liu,SIGMOD Record,2002
4,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),,,2002
5,Schema and Database Evolution in the O2 Object Database System,"F Ferrandina, T Meyer, R Zicari, G Ferran, J Madec",VLDB,1995
6,Procedures in Object-Oriented Query Languages,"K Subieta, Y Kambayashi, J Leszczylowski",VLDB,1995
7,Phoenix Project: Fault-Tolerant Applications,"R Barga, D Lomet",SIGMOD Record,2002
8,Mining the World Wide Web: An Information Search Approach - Book Review,,,2002
9,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,"F Moser, A Kraiss, W Klas",VLDB,1995
10,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,,,2002
11,Retrieval of Composite Multimedia Objects,"S Chaudhuri, S Ghandeharizadeh, C Shahabi",VLDB,1995
12,MPEG-7 and Multimedia Database Systems,H Kosch,SIGMOD Record,2002
13,The Fittest Survives: An Adaptive Approach to Query Optimization,"H Lu, K Tan, S Dao",VLDB,1995
14,Reminiscences on Influential Papers,,,2002
15,Type Classification of Semi-Structured Documents,"M Tresch, N Palmer, A Luniewski",VLDB,1995
16,Data Mining: Practical Machine Learning Tools and Techniques - Book Review,J Geller,SIGMOD Record,2002
17,Managing Intra-operator Parallelism in Parallel Database Systems,"M Mehta, D DeWitt",VLDB,1995
18,Advances in Databases and Information Systems (ADBIS),"A Caplinskas, J Eder, O Vasilecas",SIGMOD Record,2002
19,Mining Generalized Association Rules,"R Srikant, R Agrawal",VLDB,1995
20,Sampling-Based Estimation of the Number of Distinct Values of an Attribute,"P Haas, J Naughton, S Seshadri, L Stokes",VLDB,1995
21,Book Review Column,K Aberer,SIGMOD Record,2002
22,Processing Object-Oriented Queries with Invertible Late Bound Functions,"S Flodin, T Risch",VLDB,1995
23,Databases and Transaction Processing: An Application-Oriented Approach - Book Review,A Kemper,SIGMOD Record,2002
24,"The ClustRa Telecom Database: High Availability, High Throughput, and Real-Time Response","S Hvasshovd, Ø Torbjørnsen, S Bratsberg, P Holager",VLDB,1995
25,Conceptual Modeling and Specification Generation for B2B Business Process based on ebXML,H Kim,SIGMOD Record,2002
26,NeuroRule: A Connectionist Approach to Data Mining,"H Lu, R Setiono, H Liu",VLDB,1995
27,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,"R Erdur, O Dikenelli",SIGMOD Record,2002
28,Improving Performance in Replicated Databases through Relaxed Coherency,"R Gallersdörfer, M Nicola",VLDB,1995
29,An Active Functionality Service for E-Business Applications,"M Cilia, A Buchmann",SIGMOD Record,2002
30,Contracting in the Days of eBusiness,"W Hümmer, W Lehner, H Wedekind",SIGMOD Record,2002
31,Redo Recovery after System Crashes,"D Lomet, M Tuttle",VLDB,1995
32,DB2 Query Parallelism: Staging and Implementation,Y Wang,VLDB,1995
33,David DeWitt Speaks Out,M Winslett,ecord,2002
34,A Product Specification Database for Visual Prototyping,"K Sumiya, K Yasutake, H Tanaka, N Sanada, Y Imai",VLDB,1995
35,From Ternary Relationship to Relational Tables: A Case Against Common Beliefs,R Camps,SIGMOD Record,2002
36,Database De-Centralization - A Practical Approach,"T Didriksen, C Galindo-Legaria, E Dahle",VLDB,1995
37,Cluster Validity Methods: Part I,"M Halkidi, Y Batistakis, M Vazirgiannis",SIGMOD Record,2002
38,A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators,"E Pourabbas, M Rafanelli",SIGMOD Record,2002
39,Benchmarking Spatial Join Operations with Spatial Output,"E Hoel, H Samet",VLDB,1995
40,Bringing Order to Query Optimization,"G Slivinskas, C Jensen, R Snodgrass",SIGMOD Record,2002
41,BigSur: A System For the Management of Earth Science Data,"P Brown, M Stonebraker",VLDB,1995
42,Editor's Notes,L Liu,SIGMOD Record,2002
43,Efficient Search of Multi-Dimensional B-Trees,"H Leslie, R Jain, D Birdsall, H Yaghmai",VLDB,1995
44,Research Activities in Database Management and Information Retrieval at the University of Illinois at Chicago,"I Cruz, A Khokhar, B Liu, A Sistla, O Wolfson, C Yu",SIGMOD Record,2002
45,Accessing a Relational Database through an Object-Oriented Database Interface,"J Orenstein, D Kamber",VLDB,1995
46,Interviewing During a Tight Job Market,,,2002
47,"DB2 Common Server: Technology, Progress, & Directions",B Lindsay,VLDB,1995
48,Investigating XQuery for Querying Across Database Object Types,N Wiegand,SIGMOD Record,2002
49,W3QS: A Query System for the World-Wide Web,"D Konopnicki, O Shmueli",VLDB,1995
50,The Design of a Retrieval Technique for High-Dimensional Data on Tertiary Storage,"R Orlandic, J Lukaszuk, C Swietlik",SIGMOD Record,2002
51,OODB Bulk Loading Revisited: The Partitioned-List Approach,"J Wiener, J Naughton",VLDB,1995
52,Chair's Message,,,2002
53,The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept,H Korth,VLDB,1995
54,Combining Fuzzy Information: an Overview,R Fagin,SIGMOD Record,2002
55,Databases and Workflow Management: What is it All About? (Panel),"A Reuter, S Ceri, J Gray, B Salzberg, G Weikum",VLDB,1995
56,Index Concurrency Control in Firm Real-Time Database Systems,"B Goyal, J Haritsa, S Seshadri, V Srinivasan",VLDB,1995
57,A Brief Survey of Web Data Extraction Tools,"A Laender, B Ribeiro-Neto, A Silva, J Teixeira",SIGMOD Record,2002
58,Value-cognizant Speculative Concurrency Control,"A Bestavros, S Braoudakis",VLDB,1995
59,Data Warehousing and Business Intelligence for E-Commerce - Book Review,F Goethals,SIGMOD Record,2002
60,Data Mining: Concepts and Techniques - Book Review,"F Galiano, N Marín",SIGMOD Record,2002
61,A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,"K Wu, P Yu, J Chung, J Teng",VLDB,1995
62,Hot Block Clustering for Disk Arrays with Dynamic Striping,"K Mogi, M Kitsuregawa",VLDB,1995
63,Book Review Column,K Aberer,SIGMOD Record,2002
64,TODS Perceptions and Misconceptions,R Snodgrass,SIGMOD Record,2002
65,An Approach for Building Secure Database Federations,"D Jonscher, K Dittrich",VLDB,1994
66,The Cougar Approach to In-Network Query Processing in Sensor Networks,"Y Yao, J Gehrke",SIGMOD Record,2002
67,Dalí: A High Performance Main Memory Storage Manager,"H Jagadish, D Lieuwen, R Rastogi, A Silberschatz, S Sudarshan",VLDB,1994
68,Introduction to Constraint Databases - Book Review,,,2002
69,"Fast, Randomized Join-Order Selection - Why Use Transformations?","C Galindo-Legaria, A Pellenkoft, M Kersten",VLDB,1994
70,Foundations of Statistical Natural Language Processing - Book Review,,,2002
71,Bulk Loading into an OODB: A Performance Study,"J Wiener, J Naughton",VLDB,1994
72,Efficient and Effective Clustering Methods for Spatial Data Mining,"R Ng, J Han",VLDB,1994
73,Automata Theory for XML Researchers,F Neven,SIGMOD Record,2002
74,Database Research at the University of Illinois at Urbana-Champaign,"M Winslett, K Chang, A Doan, J Han, C Zhai, Y Zhou",SIGMOD Record,2002
75,Fast Incremental Indexing for Full-Text Information Retrieval,"E Brown, J Callan, W Croft",VLDB,1994
76,Chair's Message,,,2002
77,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"A Fu, D Cheung",VLDB,1994
78,Treasurer's Message,,,2002
79,A Top-Down Approach for Two Level Serializability,"M Ouzzani, M Atroun, N Belkhodja",VLDB,1994
80,Access to Objects by Path Expressions and Rules,"J Frohn, G Lausen, H Uphoff",VLDB,1994
81,Report on the Mobile Search Workshop at WWW 2002,,,2002
82,GraphDB: Modeling and Querying Graphs in Databases,R Güting,VLDB,1994
83,Report on the Web Dynamics Workshop at WWW 2002,,,2002
84,Report on the 24th European Colloquium on Information Retrieval Research,,,2002
85,Database Graph Views: A Practical Model to Manage Persistent Graphs,"A Gutiérrez, P Pucheral, H Steffen, J Thévenin",VLDB,1994
86,Dual-Buffering Strategies in Object Bases,"A Kemper, D Kossmann",VLDB,1994
87,SQL/MED - A Status Report,"J Melton, J Michels, V Josifovski, K Kulkarni, P Schwarz",SIGMOD Record,2002
88,Hector Garcia-Molina Speaks Out,M Winslett,,2002
89,2Q: A Low Overhead High Performance Buffer Management Replacement Algorithm,"T Johnson, D Shasha",VLDB,1994
90,An Effective Deductive Object-Oriented Database Through Language Integration,"M Barja, N Paton, A Fernandes, M Williams, A Dinn",VLDB,1994
91,Toward Autonomic Computing with DB2 Universal Database,"S Lightstone, G Lohman, D Zilio",SIGMOD Record,2002
92,Reminiscences on Influential Papers,,,2002
93,An Algebraic Approach to Rule Analysis in Expert Database Systems,"E Baralis, J Widom",VLDB,1994
94,Report on the Semantic Web Workshop at WWW 2002,,,2002
95,Fast Algorithms for Mining Association Rules in Large Databases,"R Agrawal, R Srikant",VLDB,1994
96,Ontologies: A Silver Bullet for Knowledge Management and Electronic Commerce - Book Review,,,2002
97,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"E Haber, Y Ioannidis, M Livny",VLDB,1995
98,The Grid: An Application of the Semantic Web,"C Goble, D Roure",SIGMOD Record,2002
99,Querying Shapes of Histories,"R Agrawal, G Psaila, E Wimmers, M Zaït",VLDB,1995
100,Interview with David Maier,,,2002
101,"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","G Evangelidis, D Lomet, B Salzberg",VLDB,1995
102,Small Worlds: the Dynamics of Networks between Order and Randomness - Book Review,,,2002
103,Flexible Relations - Operational Support of Variant Relational Structures,"C Kalus, P Dadam",VLDB,1995
104,Query Processing in Tertiary Memory Databases,S Sarawagi,VLDB,1995
105,"Agents, Turst, and Information Access on the Semantic Web","T Finin, A Joshi",SIGMOD Record,2002
106,Methodology for Development and Employment of Ontology Based Knowledge Management Applications,"Y Sure, S Staab, R Studer",SIGMOD Record,2002
107,Near Neighbor Search in Large Metric Spaces,S Brin,VLDB,1995
108,Scientific Journals: Extinction or Explosion? (Panel),"R Ramakrishnan, H Garcia-Molina, G Rossbach, A Silberschatz, G Wiederhold, J Zijlstra",VLDB,1995
109,Querying Multiple Bioinformatics Data Sources: Can Semantic Web Research Help?,"D Buttler, M Coleman, T Critchlow, R Fileto, W Han, L Liu, C Pu, D Rocco, L Xiong",SIGMOD Record,2002
110,The p Operator: Discovering and Ranking Associations on the Semantic Web,"K Anyanwu, A Sheth",SIGMOD Record,2002
111,Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"A Sistla, C Yu, C Liu, K Liu",VLDB,1995
112,Clustering Validity Checking Methods: Part II,"M Halkidi, Y Batistakis, M Vazirgiannis",SIGMOD Record,2002
113,Providing Database Migration Tools - A Practicioner's Approach,A Meier,VLDB,1995
114,Editor's Notes,L Liu,SIGMOD Record,2002
115,Metrics for Accessing Heterogeneous Data: Is There Any Hope? (Panel),"L Seligman, N Belkin, E Neuhold, M Stonebraker, G Wiederhold",VLDB,1995
116,"Very Large Databases: How Large, How Different?",D Vaskevitch,VLDB,1995
117,Book Review Column,K Aberer,SIGMOD Record,2002
118,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"S Huang, I Kwan, C Li",SIGMOD Record,2002
119,Promises and Realities of Active Database Systems,"E Simon, A Dittrich",VLDB,1995
120,OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,"J Catozzi, S Rabinovici",VLDB,1995
121,Reminiscences on Influential Papers,,,2002
122,Parameterized Complexity for the Database Theorist,M Grohe,SIGMOD Record,2002
123,Managing a DB2 Parallel Edition Database,G Fecteau,VLDB,1995
124,Research in Information Managment at Dublin City University,"M Roantree, A Smeaton",SIGMOD Record,2002
125,The Oracle Warehouse,G Hallmark,VLDB,1995
126,Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms,H Spintzik,VLDB,1995
127,Report on the EDBT'02 Panel on Scientific Data Integration,,,2002
128,Supporting Exceptions to Schema Consistency to Ease Schema Evolution in OODBMS,"E Amiel, M Bellosta, E Dujardin, E Simon",VLDB,1994
129,Wrapping Web Data into XML,"W Han, D Buttler, C Pu",SIGMOD Record,2001
130,On Database Theory and XML,D Suciu,SIGMOD Record,2001
131,NAOS - Efficient and Modular Reactive Capabilities in an Object-Oriented Database System,"C Collet, T Coupaye, T Svensen",VLDB,1994
132,XQuery Formal Semantics: State and Challenges,P Fankhauser,SIGMOD Record,2001
133,Towards Automated Performance Tuning for Complex Workloads,"K Brown, M Mehta, M Carey, M Livny",VLDB,1994
134,Why And How To Benchmark XML Databases,"A Schmidt, F Waas, M Kersten, D Florescu, M Carey, I Manolescu, R Busse",SIGMOD Record,2001
135,Query Optimization by Predicate Move-Around,"A Levy, I Mumick, Y Sagiv",VLDB,1994
136,The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account,D Lomet,SIGMOD Record,2001
137,Optimization Algorithms for Exploiting the Parallelism-Communication Tradeoff in Pipelined Parallelism,"W Hasan, R Motwani",VLDB,1994
138,The Ecobase Project: Database and Web Technologies for Environmental Information Systems,"A Tanaka, P Valduriez",SIGMOD Record,2001
139,Some Issues in Design of Distributed Deductive Databases,"M Mohania, N Sarda",VLDB,1994
140,Semantic Integration in Heterogeneous Databases Using Neural Networks,"W Li, C Clifton",VLDB,1994
141,XML Document Versioning,"S Chien, V Tsotras, C Zaniolo",SIGMOD Record,2001
142,Providing Dynamic Security Control in a Federated Database,"N Idris, W Gray, R Churchhouse",VLDB,1994
143,"Preservation of Digital Data with Self-Validating, Self-Instantiating Knowledge-Based Archives","B Ludäscher, R Marciano, R Moore",SIGMOD Record,2001
144,"Semantic Web Workshop: Models, Architectures and Management",,,2001
145,Implementing Lazy Database Updates for an Object Database System,"F Ferrandina, T Meyer, R Zicari",VLDB,1994
146,Towards Event-Driven Modelling for Database Design,"M Teisseire, P Poncelet, R Cicchetti",VLDB,1994
147,Reminiscences on Influential Papers,,,2001
148,"Jeffrey D. Ullman Speaks Out on the Future of Higher Education, Startups, Database Theory, and More",,,2001
149,New Concurrency Control Algorithms for Accessing and Compacting B-Trees,"V Setzer, A Zisman",VLDB,1994
150,OdeFS: A File System Interface to an Object-Oriented Database,"N Gehani, H Jagadish, W Roome",VLDB,1994
151,Report on the 2001 SIGMOD and PODS Awards,,,2001
152,Constraints for Semi-structured Data and XML,"P Buneman, W Fan, J Siméon, S Weinstein",SIGMOD Record,2001
153,Indexing Multiple Sets,"C Kilger, G Moerkotte",VLDB,1994
154,Editor's Notes,,,2001
155,The hcC-tree: An Efficient Index Structure for Object Oriented Databases,"B Sreenath, S Seshadri",VLDB,1994
156,Performance of Data-Parallel Spatial Operations,"E Hoel, H Samet",VLDB,1994
157,SQL/XML and the SQLX Informal Group of Companies,"A Eisenberg, J Melton",SIGMOD Record,2001
158,EIHA?!?: Deploying Web and WAP services using XML Technology,"C Biancheri, J Pazzaglia, G Paddeu",SIGMOD Record,2001
159,The Impact of Global Clustering on Spatial Database Systems,"T Brinkhoff, H Kriegel",VLDB,1994
160,Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,"M Shah, S Madden, M Franklin, J Hellerstein",SIGMOD Record,2001
161,A Requirement-Based Approach to Data Modeling and Re-Engineering,"A Muntz, C Ramiller",VLDB,1994
162,SQL Multimedia and Application Packages (SQL/MM),"J Melton, A Eisenberg",SIGMOD Record,2001
163,From Nested-Loop to Join Queries in OODB,"H Steenhagen, P Apers, H Blanken, R By",VLDB,1994
164,DIMACS Summer School Tutorial on New Frontiers in Data Mining,"D Gunopulos, N Koudas",SIGMOD Record,2001
165,"Composite Events for Active Databases: Semantics, Contexts and Detection","S Chakravarthy, V Krishnaprasad, E Anwar, S Kim",VLDB,1994
166,Report on the 8th International Workshop on Knowledge Representation Meets Databases (KRDB),,,2001
167,A Low-Cost Storage Server for Movie on Demand Databases,"B Özden, A Biliris, R Rastogi, A Silberschatz",VLDB,1994
168,Editor's Notes,L Liu,SIGMOD Record,2001
169,Content-Based Image Indexing,T Chiueh,VLDB,1994
170,Client-Server Paradise,"D DeWitt, N Kabra, J Luo, J Patel, J Yu",VLDB,1994
171,Research in Multi-Organizational Processes and Semantic Information Brokering at the LSDIS Lab,"A Sheth, J Miller, K Kochut, I Arpinar",SIGMOD Record,2001
172,On the Academic Interview Circuit: An End-to-End Discussion,U Çetintemel,SIGMOD Record,2001
173,Cumulative Updates,"S Sripada, B Wüthrich",VLDB,1994
174,Cache Conscious Algorithms for Relational Query Processing,"A Shatdal, C Kant, J Naughton",VLDB,1994
175,Introduction to the Career Forum Column,A Labrinidis,SIGMOD Record,2001
176,Challenges for Global Information Systems,"A Levy, A Silberschatz, D Srivastava, M Zemankova",VLDB,1994
177,Continuous Queries over Data Streams,"S Babu, J Widom",SIGMOD Record,2001
178,Data Analysis and Mining in the Life Sciences,N Huyn,SIGMOD Record,2001
179,Building a Laboratory Information System Around a C++-Based Object-Oriented DBMS,"N Goodman, S Rozen, L Stein",VLDB,1994
180,A Multidatabase System for Tracking and Retrieval of Financial Data,"M Cochinwala, J Bradley",VLDB,1994
181,A General Techniques for Querying XML Documents using a Relational Database System,"J Shanmugasundaram, E Shekita, J Kiernan, R Krishnamurthy, S Viglas, J Naughton, I Tatarinov",SIGMOD Record,2001
